id,title,full_text,cleaned,tokens,tokens_clean,tokens_stemmed,cleaned_text
41,"Machine learning: Algorithms, real-world applications and research directions","Machine learning: Algorithms, real-world applications and research directions … learning methods, can intelligently analyze the data on a large scale. In this paper, we present
a comprehensive view on these machine learning … different machine learning techniques …",Machine learning Algorithms real world applications and research directions learning methods can intelligently analyze the data on a large scale In this paper we present a comprehensive view on these machine learning different machine learning techniques,"['machine', 'learning', 'algorithms', 'real', 'world', 'applications', 'and', 'research', 'directions', 'learning', 'methods', 'can', 'intelligently', 'analyze', 'the', 'data', 'on', 'a', 'large', 'scale', 'in', 'this', 'paper', 'we', 'present', 'a', 'comprehensive', 'view', 'on', 'these', 'machine', 'learning', 'different', 'machine', 'learning', 'techniques']","['machine', 'learning', 'algorithms', 'real', 'world', 'applications', 'and', 'research', 'directions', 'learning', 'methods', 'can', 'intelligently', 'analyze', 'the', 'data', 'on', 'large', 'scale', 'in', 'this', 'paper', 'we', 'present', 'comprehensive', 'view', 'on', 'these', 'machine', 'learning', 'different', 'machine', 'learning', 'techniques']","['machine', 'learning', 'algorithms', 'real', 'world', 'applications', 'and', 'research', 'directions', 'learning', 'methods', 'can', 'intelligently', 'analyze', 'the', 'data', 'on', 'large', 'scale', 'in', 'this', 'paper', 'we', 'present', 'comprehensive', 'view', 'on', 'these', 'machine', 'learning', 'different', 'machine', 'learning', 'techniques']",machine learning algorithms real world applications and research directions learning methods can intelligently analyze the data on large scale in this paper we present comprehensive view on these machine learning different machine learning techniques
42,Applying machine learning to study fluid mechanics,"Applying machine learning to study fluid mechanics … This paper provides a short overview of how to use machine learning to build data-driven
models in fluid mechanics. The process of machine learning is broken down into five stages: (1…",Applying machine learning to study fluid mechanics This paper provides a short overview of how to use machine learning to build data driven models in fluid mechanics The process of machine learning is broken down into five stages 1,"['applying', 'machine', 'learning', 'to', 'study', 'fluid', 'mechanics', 'this', 'paper', 'provides', 'a', 'short', 'overview', 'of', 'how', 'to', 'use', 'machine', 'learning', 'to', 'build', 'data', 'driven', 'models', 'in', 'fluid', 'mechanics', 'the', 'process', 'of', 'machine', 'learning', 'is', 'broken', 'down', 'into', 'five', 'stages', '1']","['applying', 'machine', 'learning', 'to', 'study', 'fluid', 'mechanics', 'this', 'paper', 'provides', 'short', 'overview', 'of', 'how', 'to', 'use', 'machine', 'learning', 'to', 'build', 'data', 'driven', 'models', 'in', 'fluid', 'mechanics', 'the', 'process', 'of', 'machine', 'learning', 'is', 'broken', 'down', 'into', 'five', 'stages']","['applying', 'machine', 'learning', 'to', 'study', 'fluid', 'mechanics', 'this', 'paper', 'provides', 'short', 'overview', 'of', 'how', 'to', 'use', 'machine', 'learning', 'to', 'build', 'data', 'driven', 'models', 'in', 'fluid', 'mechanics', 'the', 'process', 'of', 'machine', 'learning', 'is', 'broken', 'down', 'into', 'five', 'stages']",applying machine learning to study fluid mechanics this paper provides short overview of how to use machine learning to build data driven models in fluid mechanics the process of machine learning is broken down into five stages
43,Machine learning and deep learning applications-a vision,"Machine learning and deep learning applications-a vision … Deep learning had been analysed and implemented in … survey for machine learning along
with deep learning applications in … , for machine learning along with deep neural learning are …",Machine learning and deep learning applications a vision Deep learning had been analysed and implemented in survey for machine learning along with deep learning applications in for machine learning along with deep neural learning are,"['machine', 'learning', 'and', 'deep', 'learning', 'applications', 'a', 'vision', 'deep', 'learning', 'had', 'been', 'analysed', 'and', 'implemented', 'in', 'survey', 'for', 'machine', 'learning', 'along', 'with', 'deep', 'learning', 'applications', 'in', 'for', 'machine', 'learning', 'along', 'with', 'deep', 'neural', 'learning', 'are']","['machine', 'learning', 'and', 'deep', 'learning', 'applications', 'vision', 'deep', 'learning', 'had', 'been', 'analysed', 'and', 'implemented', 'in', 'survey', 'for', 'machine', 'learning', 'along', 'with', 'deep', 'learning', 'applications', 'in', 'for', 'machine', 'learning', 'along', 'with', 'deep', 'neural', 'learning', 'are']","['machine', 'learning', 'and', 'deep', 'learning', 'applications', 'vision', 'deep', 'learning', 'had', 'been', 'analysed', 'and', 'implemented', 'in', 'survey', 'for', 'machine', 'learning', 'along', 'with', 'deep', 'learning', 'applications', 'in', 'for', 'machine', 'learning', 'along', 'with', 'deep', 'neural', 'learning', 'are']",machine learning and deep learning applications vision deep learning had been analysed and implemented in survey for machine learning along with deep learning applications in for machine learning along with deep neural learning are
44,Tackling climate change with machine learning,"Tackling climate change with machine learning Climate change is one of the greatest challenges facing humanity, and we, as machine
learning (ML) experts, may wonder how we can help. Here we describe how ML can be a …",Tackling climate change with machine learning Climate change is one of the greatest challenges facing humanity and we as machine learning ML experts may wonder how we can help Here we describe how ML can be a,"['tackling', 'climate', 'change', 'with', 'machine', 'learning', 'climate', 'change', 'is', 'one', 'of', 'the', 'greatest', 'challenges', 'facing', 'humanity', 'and', 'we', 'as', 'machine', 'learning', 'ml', 'experts', 'may', 'wonder', 'how', 'we', 'can', 'help', 'here', 'we', 'describe', 'how', 'ml', 'can', 'be', 'a']","['tackling', 'climate', 'change', 'with', 'machine', 'learning', 'climate', 'change', 'is', 'one', 'of', 'the', 'greatest', 'challenges', 'facing', 'humanity', 'and', 'we', 'as', 'machine', 'learning', 'ml', 'experts', 'may', 'wonder', 'how', 'we', 'can', 'help', 'here', 'we', 'describe', 'how', 'ml', 'can', 'be']","['tackling', 'climate', 'change', 'with', 'machine', 'learning', 'climate', 'change', 'is', 'one', 'of', 'the', 'greatest', 'challenges', 'facing', 'humanity', 'and', 'we', 'as', 'machine', 'learning', 'ml', 'experts', 'may', 'wonder', 'how', 'we', 'can', 'help', 'here', 'we', 'describe', 'how', 'ml', 'can', 'be']",tackling climate change with machine learning climate change is one of the greatest challenges facing humanity and we as machine learning ml experts may wonder how we can help here we describe how ml can be
45,Machine learning algorithms for social media analysis: A survey,"Machine learning algorithms for social media analysis: A survey … of machine learning algorithms, which are used in SM analysis. After that, we provide a detailed
survey of machine learning … challenges and benefits of Machine Learning usages in SM …",Machine learning algorithms for social media analysis A survey of machine learning algorithms which are used in SM analysis After that we provide a detailed survey of machine learning challenges and benefits of Machine Learning usages in SM,"['machine', 'learning', 'algorithms', 'for', 'social', 'media', 'analysis', 'a', 'survey', 'of', 'machine', 'learning', 'algorithms', 'which', 'are', 'used', 'in', 'sm', 'analysis', 'after', 'that', 'we', 'provide', 'a', 'detailed', 'survey', 'of', 'machine', 'learning', 'challenges', 'and', 'benefits', 'of', 'machine', 'learning', 'usages', 'in', 'sm']","['machine', 'learning', 'algorithms', 'for', 'social', 'media', 'analysis', 'survey', 'of', 'machine', 'learning', 'algorithms', 'which', 'are', 'used', 'in', 'sm', 'analysis', 'after', 'that', 'we', 'provide', 'detailed', 'survey', 'of', 'machine', 'learning', 'challenges', 'and', 'benefits', 'of', 'machine', 'learning', 'usages', 'in', 'sm']","['machine', 'learning', 'algorithms', 'for', 'social', 'media', 'analysis', 'survey', 'of', 'machine', 'learning', 'algorithms', 'which', 'are', 'used', 'in', 'sm', 'analysis', 'after', 'that', 'we', 'provide', 'detailed', 'survey', 'of', 'machine', 'learning', 'challenges', 'and', 'benefits', 'of', 'machine', 'learning', 'usages', 'in', 'sm']",machine learning algorithms for social media analysis survey of machine learning algorithms which are used in sm analysis after that we provide detailed survey of machine learning challenges and benefits of machine learning usages in sm
46,Machine Learning for industrial applications: A comprehensive literature review,"Machine Learning for industrial applications: A comprehensive literature review Abstract Machine Learning (ML) is a branch of artificial intelligence that studies algorithms
able to learn autonomously, directly from the input data. Over the last decade, ML techniques …",Machine Learning for industrial applications A comprehensive literature review Abstract Machine Learning ML is a branch of artificial intelligence that studies algorithms able to learn autonomously directly from the input data Over the last decade ML techniques,"['machine', 'learning', 'for', 'industrial', 'applications', 'a', 'comprehensive', 'literature', 'review', 'abstract', 'machine', 'learning', 'ml', 'is', 'a', 'branch', 'of', 'artificial', 'intelligence', 'that', 'studies', 'algorithms', 'able', 'to', 'learn', 'autonomously', 'directly', 'from', 'the', 'input', 'data', 'over', 'the', 'last', 'decade', 'ml', 'techniques']","['machine', 'learning', 'for', 'industrial', 'applications', 'comprehensive', 'literature', 'review', 'abstract', 'machine', 'learning', 'ml', 'is', 'branch', 'of', 'artificial', 'intelligence', 'that', 'studies', 'algorithms', 'able', 'to', 'learn', 'autonomously', 'directly', 'from', 'the', 'input', 'data', 'over', 'the', 'last', 'decade', 'ml', 'techniques']","['machine', 'learning', 'for', 'industrial', 'applications', 'comprehensive', 'literature', 'review', 'abstract', 'machine', 'learning', 'ml', 'is', 'branch', 'of', 'artificial', 'intelligence', 'that', 'studies', 'algorithms', 'able', 'to', 'learn', 'autonomously', 'directly', 'from', 'the', 'input', 'data', 'over', 'the', 'last', 'decade', 'ml', 'techniques']",machine learning for industrial applications comprehensive literature review abstract machine learning ml is branch of artificial intelligence that studies algorithms able to learn autonomously directly from the input data over the last decade ml techniques
47,Evolutionary machine learning: A survey,"Evolutionary machine learning: A survey … vectors pruning, and ensemble learning). This article … learning, clustering, association rule
mining, and ensemble methods. For each category, we discuss evolutionary machine learning …",Evolutionary machine learning A survey vectors pruning and ensemble learning This article learning clustering association rule mining and ensemble methods For each category we discuss evolutionary machine learning,"['evolutionary', 'machine', 'learning', 'a', 'survey', 'vectors', 'pruning', 'and', 'ensemble', 'learning', 'this', 'article', 'learning', 'clustering', 'association', 'rule', 'mining', 'and', 'ensemble', 'methods', 'for', 'each', 'category', 'we', 'discuss', 'evolutionary', 'machine', 'learning']","['evolutionary', 'machine', 'learning', 'survey', 'vectors', 'pruning', 'and', 'ensemble', 'learning', 'this', 'article', 'learning', 'clustering', 'association', 'rule', 'mining', 'and', 'ensemble', 'methods', 'for', 'each', 'category', 'we', 'discuss', 'evolutionary', 'machine', 'learning']","['evolutionary', 'machine', 'learning', 'survey', 'vectors', 'pruning', 'and', 'ensemble', 'learning', 'this', 'article', 'learning', 'clustering', 'association', 'rule', 'mining', 'and', 'ensemble', 'methods', 'for', 'each', 'category', 'we', 'discuss', 'evolutionary', 'machine', 'learning']",evolutionary machine learning survey vectors pruning and ensemble learning this article learning clustering association rule mining and ensemble methods for each category we discuss evolutionary machine learning
48,Machine learning in manufacturing and industry 4.0 applications,"Machine learning in manufacturing and industry 4.0 applications … learning from data, detect prevalent underlying patterns and make informed decisions.
Industries have been successful in the application of machine learning mainly … Machine learning …",Machine learning in manufacturing and industry 4 0 applications learning from data detect prevalent underlying patterns and make informed decisions Industries have been successful in the application of machine learning mainly Machine learning,"['machine', 'learning', 'in', 'manufacturing', 'and', 'industry', '4', '0', 'applications', 'learning', 'from', 'data', 'detect', 'prevalent', 'underlying', 'patterns', 'and', 'make', 'informed', 'decisions', 'industries', 'have', 'been', 'successful', 'in', 'the', 'application', 'of', 'machine', 'learning', 'mainly', 'machine', 'learning']","['machine', 'learning', 'in', 'manufacturing', 'and', 'industry', 'applications', 'learning', 'from', 'data', 'detect', 'prevalent', 'underlying', 'patterns', 'and', 'make', 'informed', 'decisions', 'industries', 'have', 'been', 'successful', 'in', 'the', 'application', 'of', 'machine', 'learning', 'mainly', 'machine', 'learning']","['machine', 'learning', 'in', 'manufacturing', 'and', 'industry', 'applications', 'learning', 'from', 'data', 'detect', 'prevalent', 'underlying', 'patterns', 'and', 'make', 'informed', 'decisions', 'industries', 'have', 'been', 'successful', 'in', 'the', 'application', 'of', 'machine', 'learning', 'mainly', 'machine', 'learning']",machine learning in manufacturing and industry applications learning from data detect prevalent underlying patterns and make informed decisions industries have been successful in the application of machine learning mainly machine learning
49,Enhancing computational fluid dynamics with machine learning,"Enhancing computational fluid dynamics with machine learning … Machine learning is rapidly becoming a core technology for scientific computing, with …
We also discuss emerging areas of machine learning that are promising for computational …",Enhancing computational fluid dynamics with machine learning Machine learning is rapidly becoming a core technology for scientific computing with We also discuss emerging areas of machine learning that are promising for computational,"['enhancing', 'computational', 'fluid', 'dynamics', 'with', 'machine', 'learning', 'machine', 'learning', 'is', 'rapidly', 'becoming', 'a', 'core', 'technology', 'for', 'scientific', 'computing', 'with', 'we', 'also', 'discuss', 'emerging', 'areas', 'of', 'machine', 'learning', 'that', 'are', 'promising', 'for', 'computational']","['enhancing', 'computational', 'fluid', 'dynamics', 'with', 'machine', 'learning', 'machine', 'learning', 'is', 'rapidly', 'becoming', 'core', 'technology', 'for', 'scientific', 'computing', 'with', 'we', 'also', 'discuss', 'emerging', 'areas', 'of', 'machine', 'learning', 'that', 'are', 'promising', 'for', 'computational']","['enhancing', 'computational', 'fluid', 'dynamics', 'with', 'machine', 'learning', 'machine', 'learning', 'is', 'rapidly', 'becoming', 'core', 'technology', 'for', 'scientific', 'computing', 'with', 'we', 'also', 'discuss', 'emerging', 'areas', 'of', 'machine', 'learning', 'that', 'are', 'promising', 'for', 'computational']",enhancing computational fluid dynamics with machine learning machine learning is rapidly becoming core technology for scientific computing with we also discuss emerging areas of machine learning that are promising for computational
50,Machine learning in environmental research: common pitfalls and best practices,"Machine learning in environmental research: common pitfalls and best practices … Machine learning (ML) is increasingly used in environmental research to process large data
… By analyzing good examples on supervised learning and reference modeling paradigms, …",Machine learning in environmental research common pitfalls and best practices Machine learning ML is increasingly used in environmental research to process large data By analyzing good examples on supervised learning and reference modeling paradigms,"['machine', 'learning', 'in', 'environmental', 'research', 'common', 'pitfalls', 'and', 'best', 'practices', 'machine', 'learning', 'ml', 'is', 'increasingly', 'used', 'in', 'environmental', 'research', 'to', 'process', 'large', 'data', 'by', 'analyzing', 'good', 'examples', 'on', 'supervised', 'learning', 'and', 'reference', 'modeling', 'paradigms']","['machine', 'learning', 'in', 'environmental', 'research', 'common', 'pitfalls', 'and', 'best', 'practices', 'machine', 'learning', 'ml', 'is', 'increasingly', 'used', 'in', 'environmental', 'research', 'to', 'process', 'large', 'data', 'by', 'analyzing', 'good', 'examples', 'on', 'supervised', 'learning', 'and', 'reference', 'modeling', 'paradigms']","['machine', 'learning', 'in', 'environmental', 'research', 'common', 'pitfalls', 'and', 'best', 'practices', 'machine', 'learning', 'ml', 'is', 'increasingly', 'used', 'in', 'environmental', 'research', 'to', 'process', 'large', 'data', 'by', 'analyzing', 'good', 'examples', 'on', 'supervised', 'learning', 'and', 'reference', 'modeling', 'paradigms']",machine learning in environmental research common pitfalls and best practices machine learning ml is increasingly used in environmental research to process large data by analyzing good examples on supervised learning and reference modeling paradigms
